업종명,업소명,소재지(도로명),소재지(지번),소재지전화,데이터기준일
일반음식점,모리참치,경상북도 포항시 남구 오천읍 문덕로38번길 3 (1층),경상북도 포항시 남구 오천읍 문덕리 343-3 (1층) ,054 -292 -2250,2025-08-14
일반음식점,시장집식당,"경상북도 포항시 남구 오천읍 장기로1690번길 18-2, 다동 15호 (오천시장)","경상북도 포항시 남구 오천읍 세계리 823-1 (외 15필지, 오천시장 주건축물제3동) 다동 15호",054 -292 -2392,2025-08-14
일반음식점,아빠가차린밥상,"경상북도 포항시 남구 오천읍 문덕로53번길 2, 1층 5호 (국민드림빌 1차 상가)",경상북도 포항시 남구 오천읍 문덕리 369-1 (국민드림빌 1차 상가 5호) ,054 -292 -2545,2025-08-14
일반음식점,시장식당,"경상북도 포항시 남구 오천읍 장기로1690번길 7, 가동 16호 (오천시장 내)",경상북도 포항시 남구 오천읍 세계리 831 오천시장 내 가동 16호,054 -292 -2550,2025-08-14
일반음식점,진가네장터국수,,경상북도 포항시 남구 오천읍 세계리 823-1 외 16필지(오천시장) 가동 103호,054 -292 -2648,2025-08-14
일반음식점,통큰회수산,"경상북도 포항시 남구 오천읍 하원로54번길 24, 1층",경상북도 포항시 남구 오천읍 원리 1402 (1층) ,054 -292 -2734,2025-08-14
일반음식점,포항수림물회,"경상북도 포항시 남구 오천읍 냉천로 274-1, 1층",경상북도 포항시 남구 오천읍 원리 900-2 (1층) ,054 -292 -2855,2025-08-14
일반음식점,문덕매운탕,"경상북도 포항시 남구 오천읍 원동로 114, 1층",경상북도 포항시 남구 오천읍 원리 1157 1층 ,054 -292 -3113,2025-08-14
일반음식점,설탕에 찍은 딸기,"경상북도 포항시 남구 오천읍 정몽주로 571, 1층",경상북도 포항시 남구 오천읍 용덕리 291-9 ,054 -292 -3135,2025-08-14
일반음식점,황진이,"경상북도 포항시 남구 오천읍 문덕로 36, 1층",경상북도 포항시 남구 오천읍 문덕리 318-5 1층 ,054 -292 -3233,2025-08-14
일반음식점,크루피자포항오천점,"경상북도 포항시 남구 오천읍 냉천로340번길 46, 1층 (한울하이츠)","경상북도 포항시 남구 오천읍 원리 980-6 , 1층 ",054 -292 -3303,2025-08-14
일반음식점,나주추어탕,"경상북도 포항시 남구 오천읍 해병로315번길 3, 1층",경상북도 포항시 남구 오천읍 문덕리 4-11 (1층) ,054 -292 -3434,2025-08-14
일반음식점,옛날통닭치고 산오징어,경상북도 포항시 남구 오천읍 냉천로320번길 51-6 ((1층)),경상북도 포항시 남구 오천읍 원리 980-3 (1층) ,054 -292 -3450,2025-08-14
일반음식점,부자매운탕,"경상북도 포항시 남구 오천읍 냉천로340번길 73, 1층 112호 (센트럴파크B동상가)",경상북도 포항시 남구 오천읍 문덕리 176-1 센트럴파크B동상가 (1층) 112호,054 -292 -3517,2025-08-14
일반음식점,동해해물생아구찜,"경상북도 포항시 남구 오천읍 문덕로53번길 1, 101동 1층 상가3호 (국민드림빌3차)","경상북도 포항시 남구 오천읍 문덕리 347-4 , 국민드림빌3차 1층 101동 상가 3호",054 -292 -3639,2025-08-14
일반음식점,블루오사카,"경상북도 포항시 남구 오천읍 남원로 86-19, 상가1동 1층 107호 (포항원동사랑으로부영3차)",경상북도 포항시 남구 오천읍 원리 1000 (포항원동사랑으로부영3차 상가1동 107호) ,054 -292 -3690,2025-08-14
일반음식점,주왕산 삼계탕,"경상북도 포항시 북구 죽도로40번길 36, 1층 (죽도동)",경상북도 포항시 북구 죽도동 70-41 ,054 -292 -3799,2025-08-14
일반음식점,수연지포차,"경상북도 포항시 남구 오천읍 충무로 32, 1층",경상북도 포항시 남구 오천읍 용덕리 357-6 1층 ,054 -292 -3931,2025-08-14
일반음식점,국민삼겹살,"경상북도 포항시 남구 오천읍 냉천로302번길 46, 1층",경상북도 포항시 남구 오천읍 원리 932-3 1층 ,054 -292 -4088,2025-08-14
일반음식점,우리수산 등푸른회 식당,"경상북도 포항시 남구 오천읍 남원로 33, 1층",경상북도 포항시 남구 오천읍 원리 897 1층 ,054 -292 -4322,2025-08-14
일반음식점,금가백숙,"경상북도 포항시 남구 오천읍 냉천로302번길 4, 1층",경상북도 포항시 남구 오천읍 원리 928-7 1층 ,054 -292 -4466,2025-08-14
일반음식점,분이식당,"경상북도 포항시 남구 오천읍 문덕로11번길 9, 1층 (현대빌)",경상북도 포항시 남구 오천읍 문덕리 276-3 현대빌 1층 ,054 -292 -4652,2025-08-14
일반음식점,용산식당,"경상북도 포항시 남구 오천읍 문덕로 48, 1층",경상북도 포항시 남구 오천읍 문덕리 348-4 1층 ,054 -292 -4733,2025-08-14
일반음식점,봉수아피자,"경상북도 포항시 남구 오천읍 냉천로308번길 21, 1층 (빌리스)",경상북도 포항시 남구 오천읍 원리 943-1 빌리스1층 ,054 -292 -4833,2025-08-14
일반음식점,풍년가,"경상북도 포항시 남구 오천읍 냉천로 360, 1층",경상북도 포항시 남구 오천읍 문덕리 263-4 (1층) ,054 -292 -4911,2025-08-14
일반음식점,홍가네가마솥족발,"경상북도 포항시 남구 오천읍 냉천로302번길 27-1, 1층",경상북도 포항시 남구 오천읍 원리 936-1 (1층) ,054 -292 -4977,2025-08-14
일반음식점,카페나무,"경상북도 포항시 남구 오천읍 오어로360번길 6-11, 1층",경상북도 포항시 남구 오천읍 용산리 331 1층 ,054 -292 -5009,2025-08-14
일반음식점,원두막포차,경상북도 포항시 남구 오천읍 문덕로38번길 3,경상북도 포항시 남구 오천읍 문덕리 343-3 ,054 -292 -5054,2025-08-14
일반음식점,산야초 가든,"경상북도 포항시 남구 오천읍 냉천로340번길 10, 1층",경상북도 포항시 남구 오천읍 원리 985-6 1층 ,054 -292 -5060,2025-08-14
일반음식점,샤브향,경상북도 포항시 남구 오천읍 원동로 41 (외1필지),경상북도 포항시 남구 오천읍 원리 893-26 외1필지 ,054 -292 -5225,2025-08-14
일반음식점,부흥관,"경상북도 포항시 남구 정몽주로 866 (청림동,(1층))",경상북도 포항시 남구 청림동 372-1 (1층) ,054 -292 -5244,2025-08-14
일반음식점,차이나,경상북도 포항시 남구 정몽주로879번길 15 (청림동),경상북도 포항시 남구 청림동 1176-20 ,054 -292 -5255,2025-08-14
일반음식점,밥풀떼기,"경상북도 포항시 남구 오천읍 원동로 4, 엠파이어상가 1층 129호",경상북도 포항시 남구 오천읍 문덕리 187-3 엠파이어상가1층 129호,054 -292 -5451,2025-08-14
일반음식점,찌개공방,"경상북도 포항시 남구 오천읍 정몽주로616번길 5, 1층","경상북도 포항시 남구 오천읍 용덕리 330-6 , 1층 ",054 -292 -5530,2025-08-14
일반음식점,부산꼼장어,"경상북도 포항시 남구 오천읍 냉천로298번길 1, 1층 (코모도빌)","경상북도 포항시 남구 오천읍 원리 928-5 외 1필지, 코모도빌 1층 ",054 -292 -5592,2025-08-14
일반음식점,부산갈매기(원동점),"경상북도 포항시 남구 오천읍 남원로 52, 가온누리 1층 101호",경상북도 포항시 남구 오천읍 원리 1210 1층 101호,054 -292 -5700,2025-08-14
일반음식점,이모야밥줘,"경상북도 포항시 남구 오천읍 냉천로302번길 21-1, 1층",경상북도 포항시 남구 오천읍 원리 937 (1층) ,054 -292 -5775,2025-08-14
일반음식점,백정,"경상북도 포항시 남구 오천읍 철강로705번길 19, 1층",경상북도 포항시 남구 오천읍 문덕리 184-4 (1층) ,054 -292 -5820,2025-08-14
일반음식점,메로메로돈가스&우동(오천점),"경상북도 포항시 남구 오천읍 원동로 60, 1층",경상북도 포항시 남구 오천읍 원리 913-2 (1층) ,054 -292 -5877,2025-08-14
일반음식점,선산대한곱창,"경상북도 포항시 남구 오천읍 원동로 11, 107동 107호 (준양참마을)",경상북도 포항시 남구 오천읍 문덕리 176-6 준양참마을 107동 107호,054 -292 -6001,2025-08-14
일반음식점,퍼팩트,"경상북도 포항시 남구 오천읍 냉천로270번길 7, 1층",경상북도 포항시 남구 오천읍 원리 902-1 (1층) ,054 -292 -6007,2025-08-14
일반음식점,조은식당,"경상북도 포항시 남구 오천읍 문덕로54번길 25-2, 1층",경상북도 포항시 남구 오천읍 문덕리 358-8 1층 ,054 -292 -6066,2025-08-14
일반음식점,청림식육식당,경상북도 포항시 남구 정몽주로 872 (청림동),경상북도 포항시 남구 청림동 379-1 ,054 -292 -6262,2025-08-14
일반음식점,설빙(오천점),"경상북도 포항시 남구 오천읍 원동로 18, 1~2층","경상북도 포항시 남구 오천읍 문덕리 184-1 (1층,2층) ",054 -292 -6400,2025-08-14
일반음식점,파스토보이 포항오천점,"경상북도 포항시 남구 오천읍 남원로 86-26, 1층","경상북도 포항시 남구 오천읍 원리 1079-7 ,1층 ",054 -292 -6445,2025-08-14
일반음식점,램명가 양갈비 화로구이 전문점,경상북도 포항시 남구 오천읍 문덕로 8,경상북도 포항시 남구 오천읍 문덕리 232-9 ,054 -292 -6587,2025-08-14
일반음식점,교촌치킨(오천점),"경상북도 포항시 남구 오천읍 원동로 60, 1층",경상북도 포항시 남구 오천읍 원리 913-2 1층 ,054 -292 -6660,2025-08-14
일반음식점,옥이밥상,"경상북도 포항시 남구 청림서길 29, 1층 (청림동)",경상북도 포항시 남구 청림동 588-2 청림시장(1층) ,054 -292 -6869,2025-08-14
일반음식점,신 불닭발,경상북도 포항시 남구 오천읍 정몽주로 698 ((1층)),경상북도 포항시 남구 오천읍 구정리 45-54 (1층) ,054 -292 -6969,2025-08-14
일반음식점,돈수육백반,"경상북도 포항시 남구 오천읍 장기로 1641, 1층",경상북도 포항시 남구 오천읍 세계리 675-6 (1층) ,054 -292 -7001,2025-08-14
일반음식점,제주대패,"경상북도 포항시 남구 오천읍 문덕로 14, 1층","경상북도 포항시 남구 오천읍 문덕리 272-2 , 1층 ",054 -292 -7233,2025-08-14
일반음식점,한우리한식당,"경상북도 포항시 남구 오천읍 중원로 71-33, 1층",경상북도 포항시 남구 오천읍 원리 1034-1 1층 ,054 -292 -7333,2025-08-14
일반음식점,돼지삼겹,"경상북도 포항시 남구 오천읍 냉천로270번길 33, 1층 101호",경상북도 포항시 남구 오천읍 원리 907 101호,054 -292 -7418,2025-08-14
일반음식점,제이푸드,"경상북도 포항시 남구 오천읍 장기로 1685-1, 1층",경상북도 포항시 남구 오천읍 세계리 833-15 1층 ,054 -292 -7456,2025-08-14
일반음식점,문덕맛찬들왕소금구이,"경상북도 포항시 남구 오천읍 원동로 129, 1층",경상북도 포항시 남구 오천읍 원리 1070-1 (1층) ,054 -292 -7676,2025-08-14
일반음식점,신라반점,경상북도 포항시 남구 오천읍 남원로 47 ((1층)),경상북도 포항시 남구 오천읍 원리 895-6 (1층) ,054 -292 -7744,2025-08-14
일반음식점,풍년아구갈비찜,경상북도 포항시 남구 오천읍 해병로 265 ((1층)),경상북도 포항시 남구 오천읍 용덕리 445 (1층) ,054 -292 -7758,2025-08-14
일반음식점,돌담식당,"경상북도 포항시 남구 정몽주로 880 (청림동, 1층)",경상북도 포항시 남구 청림동 982-1 (1층) ,054 -292 -7890,2025-08-14
일반음식점,와보라카이퓨전주점,"경상북도 포항시 남구 동해면 일월로 118, 가동 2층 110호,111호","경상북도 포항시 남구 동해면 약전리 403-8 (2층 가동 110호, 111호) ",054 -292 -7890,2025-08-14
일반음식점,육장갈비 포항원동점,"경상북도 포항시 남구 오천읍 냉천로236번길 63, 1층",경상북도 포항시 남구 오천읍 원리 1083 1층 ,054 -292 -7892,2025-08-14
일반음식점,우리할매떡볶이,"경상북도 포항시 남구 오천읍 남원로 85, 3동 1층 106호 (2차부영아파트)",경상북도 포항시 남구 오천읍 원리 892 2차부영아파트 3동 106호,054 -292 -8184,2025-08-14
일반음식점,하늘을 품다,"경상북도 포항시 남구 오천읍 냉천로 298, 1층",경상북도 포항시 남구 오천읍 원리 926-3 1층 ,054 -292 -8200,2025-08-14
일반음식점,베트남 요리 전문점,"경상북도 포항시 남구 오천읍 원동로 4, 엠파이어상가 1층 116호",경상북도 포항시 남구 오천읍 문덕리 187-3 엠파이어상가 1층 116호 ,054 -292 -8384,2025-08-14
일반음식점,부용,경상북도 포항시 남구 오천읍 충무로 54,경상북도 포항시 남구 오천읍 용덕리 365-18 ,054 -292 -8458,2025-08-14
일반음식점,다왕갈비탕,"경상북도 포항시 남구 오천읍 남원로 44, 은혜빌딩 1층",경상북도 포항시 남구 오천읍 원리 1360 1층 ,054 -292 -8505,2025-08-14
일반음식점,뚱부라보 식당,경상북도 포항시 남구 오천읍 장기로1580번길 32-3,경상북도 포항시 남구 오천읍 세계리 191 ,054 -292 -8522,2025-08-14
일반음식점,고기굽는남자,"경상북도 포항시 남구 오천읍 원동로 97, 1층",경상북도 포항시 남구 오천읍 원리 1091 (1층) ,054 -292 -8552,2025-08-14
일반음식점,지호한방삼계탕 포항문덕점,"경상북도 포항시 남구 오천읍 냉천로 392, 1층",경상북도 포항시 남구 오천읍 문덕리 327-6 1층 ,054 -292 -8580,2025-08-14
일반음식점,효자동커피집,"경상북도 포항시 남구 형산강북로 95, 1층 (효자동)",경상북도 포항시 남구 효자동 594-3 (1층) ,054 -292 -8829,2025-08-14
일반음식점,달인의찜닭문덕점,"경상북도 포항시 남구 오천읍 철강로723번길 1-2, 다올빌딩 1층",경상북도 포항시 남구 오천읍 문덕리 254-7 1층 ,054 -292 -8850,2025-08-14
일반음식점,우미관,경상북도 포항시 남구 오천읍 남원로 49 ((1층)),경상북도 포항시 남구 오천읍 원리 895-5 (1층) ,054 -292 -8858,2025-08-14
일반음식점,아라치치킨 오천문덕점,"경상북도 포항시 남구 오천읍 세계길 39, 희망상가 A동 1층 107호",경상북도 포항시 남구 오천읍 세계리 857-13 1층 A동 107호,054 -292 -8868,2025-08-14
일반음식점,노가닭문덕점,"경상북도 포항시 남구 오천읍 해병로181번길 10, 서희스타힐스 상가 1층 101호","경상북도 포항시 남구 오천읍 구정리 570 , 1층 서희스타힐스 상가 101호",054 -292 -8889,2025-08-14
일반음식점,문덕기와촌식당,"경상북도 포항시 남구 오천읍 냉천로 388-1, 1층",경상북도 포항시 남구 오천읍 문덕리 327-3 (1층) ,054 -292 -8898,2025-08-14
일반음식점,새정원,"경상북도 포항시 남구 청림서길 29, 7동 10호 (청림동,청림시장)",경상북도 포항시 남구 청림동 588-2 청림시장 7동 10호,054 -292 -8998,2025-08-14
일반음식점,뉴켈리포니아호프,경상북도 포항시 남구 오천읍 정몽주로 538,경상북도 포항시 남구 오천읍 세계리 902-10 2층 ,054 -292 -9005,2025-08-14
일반음식점,오니도깨비사시미,경상북도 포항시 남구 오천읍 냉천로302번길 58,경상북도 포항시 남구 오천읍 원리 932-9 ,054 -292 -9115,2025-08-14
일반음식점,옛날고기집,"경상북도 포항시 남구 오천읍 하원로 23, 1층",경상북도 포항시 남구 오천읍 원리 1184 (1층) ,054 -292 -9193,2025-08-14
일반음식점,호식이두마리치킨(문덕점),경상북도 포항시 남구 오천읍 원동로 41-9 (가동 101호),경상북도 포항시 남구 오천읍 원리 893-56 가동 101호,054 -292 -9202,2025-08-14
일반음식점,조아숯불닭바베큐,경상북도 포항시 남구 오천읍 문덕로 31,경상북도 포항시 남구 오천읍 문덕리 314-6 ,054 -292 -9277,2025-08-14
일반음식점,투다리원동점,"경상북도 포항시 남구 오천읍 남원로 85-19, 1층 101호",경상북도 포항시 남구 오천읍 원리 893-35 1층 101호,054 -292 -9280,2025-08-14
일반음식점,달.매.화 치킨,경상북도 포항시 남구 오천읍 정몽주로669번길 10-3,경상북도 포항시 남구 오천읍 용덕리 402 ,054 -292 -9285,2025-08-14
일반음식점,굽네치킨포항오천점,"경상북도 포항시 남구 오천읍 냉천로340번길 16, 1층",경상북도 포항시 남구 오천읍 원리 985-9 1층 ,054 -292 -9294,2025-08-14
일반음식점,해물파전식당,경상북도 포항시 남구 오천읍 해병로307번길 26,경상북도 포항시 남구 오천읍 세계리 847-1 중앙상가나동 2-102 ,054 -292 -9493,2025-08-14
일반음식점,강나루숯불갈비,경상북도 포항시 남구 오천읍 냉천로 398,경상북도 포항시 남구 오천읍 문덕리 328-6 ,054 -292 -9498,2025-08-14
일반음식점,코리엔탈깻잎두마리칩킨,"경상북도 포항시 남구 해병로109번길 10, B동 123, 124호 (인덕동)","경상북도 포항시 남구 인덕동 5-2 B 동 123호,124호 ",054 -292 -9700,2025-08-14
일반음식점,골목포차,"경상북도 포항시 남구 오천읍 냉천로340번길 8-6, 1층",경상북도 포항시 남구 오천읍 원리 989 1층 ,054 -292 -9701,2025-08-14
일반음식점,장군식당,"경상북도 포항시 남구 오천읍 문덕로23번길 19-5, A동 1층","경상북도 포항시 남구 오천읍 문덕리 300-4 , 1층 A동 ",054 -292 -9788,2025-08-14
일반음식점,24시해장국,"경상북도 포항시 남구 청림서길 45-1, 1층 (청림동)",경상북도 포항시 남구 청림동 591-5 1층 ,054 -292 -9843,2025-08-14
일반음식점,인덕물회,"경상북도 포항시 남구 서원재로167번길 3, 1층 (인덕동)",경상북도 포항시 남구 인덕동 47-3 1층 ,054 -292 -9898,2025-08-14
일반음식점,부산본가돼지국밥,"경상북도 포항시 남구 오천읍 남원로 3, 1층",경상북도 포항시 남구 오천읍 원리 899-5 ,054 -292 -9899,2025-08-14
일반음식점,단지과메기,"경상북도 포항시 남구 오천읍 문덕로53번길 1, 101동 1층 상가2호 (국민드림빌3차)","경상북도 포항시 남구 오천읍 문덕리 347-4 ,1층 국민드림빌3차 101동 상가2호",054 -292 -9922,2025-08-14
일반음식점,거무골토종닭미꾸리농장,"경상북도 포항시 남구 동해면 상정길45번길 125, 1층",경상북도 포항시 남구 동해면 상정리 549 (1층) ,054 -292 -9970,2025-08-14
일반음식점,장충동웰빙왕족발,"경상북도 포항시 남구 오천읍 원동로 56, 1층",경상북도 포항시 남구 오천읍 원리 913-4 (1층) ,054 -293 -0006,2025-08-14
일반음식점,다미,경상북도 포항시 남구 오천읍 냉천로 330 (1층),경상북도 포항시 남구 오천읍 원리 988-3 (1층) ,054 -293 -0041,2025-08-14
일반음식점,간이역,경상북도 포항시 남구 오천읍 정몽주로 698-1,경상북도 포항시 남구 오천읍 구정리 45-31 ,054 -293 -0098,2025-08-14
일반음식점,소문 문덕점,"경상북도 포항시 남구 오천읍 원동로 89, 2동 1층",경상북도 포항시 남구 오천읍 원리 1080-4 2동 1층 ,054 -293 -0500,2025-08-14
일반음식점,시장국밥,경상북도 포항시 남구 청림서길 29 (청림동),경상북도 포항시 남구 청림동 588-2 ,054 -293 -0506,2025-08-14
일반음식점,커피워터브루잉(CWB Roasters),"경상북도 포항시 남구 오천읍 원동로 76, 1층",경상북도 포항시 남구 오천읍 원리 894-3 1층 ,054 -293 -0525,2025-08-14
일반음식점,문라운지,"경상북도 포항시 남구 오천읍 원동로 66, 2층",경상북도 포항시 남구 오천읍 원리 913 (2층) ,054 -293 -0533,2025-08-14
일반음식점,조야식당,"경상북도 포항시 남구 오천읍 문덕로11번길 4, 1층",경상북도 포항시 남구 오천읍 문덕리 275-2 1층 ,054 -293 -0633,2025-08-14
일반음식점,무한대장(문덕점),"경상북도 포항시 남구 오천읍 냉천로 252, 1층",경상북도 포항시 남구 오천읍 원리 1469 (1층) ,054 -293 -0707,2025-08-14
일반음식점,푸줏간,"경상북도 포항시 남구 오천읍 원동로 4, 엠파이어상가 1층 118호",경상북도 포항시 남구 오천읍 문덕리 187-3 엠파이어상가 1층 118호,054 -293 -0727,2025-08-14
일반음식점,황룡짬뽕,"경상북도 포항시 남구 오천읍 냉천로 308, 1층",경상북도 포항시 남구 오천읍 원리 939-5 1층 ,054 -293 -0780,2025-08-14
일반음식점,공씨네주먹밥,경상북도 포항시 남구 오천읍 원동로 30 (1층),경상북도 포항시 남구 오천읍 원리 980-1 (1층) ,054 -293 -0781,2025-08-14
일반음식점,삼거리식당,경상북도 포항시 남구 오천읍 정몽주로 190,경상북도 포항시 남구 오천읍 용산리 360-29 ,054 -293 -0887,2025-08-14
일반음식점,김치찌개 전문점,경상북도 포항시 남구 오천읍 문덕로37번길 21,경상북도 포항시 남구 오천읍 문덕리 328-11 ,054 -293 -1118,2025-08-14
일반음식점,사돈댁왕족발,"경상북도 포항시 남구 동해면 일월로 136, 1층","경상북도 포항시 남구 동해면 약전리 420-6 , 1층 ",054 -293 -1190,2025-08-14
일반음식점,하나식당,경상북도 포항시 남구 정몽주로879번길 9-3 (청림동),경상북도 포항시 남구 청림동 1177-3 ,054 -293 -1191,2025-08-14
일반음식점,코즈키오뎅,"경상북도 포항시 남구 오천읍 남원로 48, 1층",경상북도 포항시 남구 오천읍 원리 1211-1 1층 ,054 -293 -1192,2025-08-14
일반음식점,조은사람들,"경상북도 포항시 남구 해동로84번길 20-1, 1층 (해도동)",경상북도 포항시 남구 해도동 1-512 1층 ,054 -293 -1212,2025-08-14
일반음식점,고향식당,경상북도 포항시 남구 대송면 제내길75번길 29-5,경상북도 포항시 남구 대송면 제내리 589-41 ,054 -293 -1230,2025-08-14
일반음식점,바른푸드,"경상북도 포항시 남구 오천읍 해병로347번길 28, 1층",경상북도 포항시 남구 오천읍 문덕리 18-2 ,054 -293 -1239,2025-08-14
일반음식점,김치찜은 못참지,"경상북도 포항시 남구 오천읍 냉천로298번길 22, 1층",경상북도 포항시 남구 오천읍 원리 921-11 (1층) ,054 -293 -1331,2025-08-14
일반음식점,고선생 1호점,"경상북도 포항시 남구 오천읍 냉천로302번길 48, 1층","경상북도 포항시 남구 오천읍 원리 932-5 , 1층 ",054 -293 -1345,2025-08-14
일반음식점,우연가,"경상북도 포항시 남구 오천읍 냉천로302번길 1, 1~2층",경상북도 포항시 남구 오천읍 원리 938-2 1~2층 ,054 -293 -1470,2025-08-14
일반음식점,소다미,"경상북도 포항시 남구 오천읍 냉천로302번길 46, 1층",경상북도 포항시 남구 오천읍 원리 932-3 1층 ,054 -293 -1533,2025-08-14
일반음식점,부영회센터,"경상북도 포항시 남구 오천읍 남원로 85, 상가1동 1층 106호 (부영사랑으로상가)",경상북도 포항시 남구 오천읍 원리 892 (부영사랑으로상가1동 1층 106호) ,054 -293 -1588,2025-08-14
일반음식점,지코바문덕점,"경상북도 포항시 남구 오천읍 남원로 61, 1층",경상북도 포항시 남구 오천읍 원리 895 1층 ,054 -293 -1592,2025-08-14
일반음식점,영일만아구찜,"경상북도 포항시 남구 오천읍 충무로 60, 1층",경상북도 포항시 남구 오천읍 용덕리 377-4 (1층) ,054 -293 -1690,2025-08-14
일반음식점,닥엔돈스,"경상북도 포항시 남구 오천읍 냉천로302번길 36, 1층",경상북도 포항시 남구 오천읍 원리 931-7 (1층) ,054 -293 -1722,2025-08-14
일반음식점,새천년포차,"경상북도 포항시 남구 오천읍 해병로307번길 30, 가동 1층 106,107호","경상북도 포항시 남구 오천읍 세계리 847-5 106,107호 가동 ",054 -293 -1777,2025-08-14
일반음식점,1인칭피자시점,"경상북도 포항시 남구 오천읍 냉천로308번길 39-1, 1층","경상북도 포항시 남구 오천읍 원리 946 , 1층 ",054 -293 -1828,2025-08-14
일반음식점,황제곱창 쭈구미,경상북도 포항시 남구 오천읍 문덕로11번길 9-5,경상북도 포항시 남구 오천읍 문덕리 276-7 (1층) ,054 -293 -1879,2025-08-14
일반음식점,승진돼지찌개,"경상북도 포항시 남구 오천읍 문덕로11번길 24, 1층",경상북도 포항시 남구 오천읍 문덕리 299-2 1층 ,054 -293 -1999,2025-08-14
일반음식점,황제목살,경상북도 포항시 남구 오천읍 문덕로 2 ((1층)),경상북도 포항시 남구 오천읍 문덕리 232-1 (1층) ,054 -293 -2004,2025-08-14
일반음식점,포항촌놈물회,경상북도 포항시 남구 정몽주로861번길 22 (청림동),경상북도 포항시 남구 청림동 1175-6 1층 ,054 -293 -2101,2025-08-14
일반음식점,바우네 나주곰탕,"경상북도 포항시 남구 오천읍 남원로 29, 1층",경상북도 포항시 남구 오천읍 원리 897-3 ,054 -293 -2333,2025-08-14
일반음식점,샤브20,"경상북도 포항시 남구 오천읍 원동로 40, 1층",경상북도 포항시 남구 오천읍 원리 933-4 1층 ,054 -293 -2480,2025-08-14
일반음식점,참푸드,"경상북도 포항시 남구 오천읍 정몽주로617번길 25, 1층",경상북도 포항시 남구 오천읍 용덕리 323-2 1층 ,054 -293 -2487,2025-08-14
일반음식점,마쉼,"경상북도 포항시 남구 오천읍 문덕로 63, 1층",경상북도 포항시 남구 오천읍 문덕리 369-5 ,054 -293 -2528,2025-08-14
일반음식점,힐링,경상북도 포항시 남구 오천읍 철강로705번길 12,경상북도 포항시 남구 오천읍 문덕리 198-1 ,054 -293 -2545,2025-08-14
일반음식점,황금코다리오천점,"경상북도 포항시 남구 오천읍 냉천로236번길 68, 1층",경상북도 포항시 남구 오천읍 원리 1067 (1층) ,054 -293 -2566,2025-08-14
일반음식점,몬스터 해물 아구찜,"경상북도 포항시 남구 오천읍 정몽주로 621, 1층",경상북도 포항시 남구 오천읍 용덕리 332-17 1층 ,054 -293 -2663,2025-08-14
일반음식점,커피에스페란토포항점,"경상북도 포항시 남구 오천읍 하원로47번길 9, 1층 133호",경상북도 포항시 남구 오천읍 원리 1134 (1층) 133호,054 -293 -2666,2025-08-14
일반음식점,육형제,"경상북도 포항시 남구 동해면 일월로109번길 24-6, 제1동 1층","경상북도 포항시 남구 동해면 도구리 902-16 제1동, 1층 ",054 -293 -2784,2025-08-14
일반음식점,송계가든앤카페,"경상북도 포항시 남구 오천읍 문덕로80번길 7-1, 1층",경상북도 포항시 남구 오천읍 문덕리 405-2 (1층) ,054 -293 -2800,2025-08-14
일반음식점,여기야,"경상북도 포항시 남구 오천읍 문덕로11번길 4, 1층",경상북도 포항시 남구 오천읍 문덕리 275-2 1층 ,054 -293 -2924,2025-08-14
일반음식점,은빛수산,"경상북도 포항시 남구 오천읍 원동로 75-12, 1층",경상북도 포항시 남구 오천읍 원리 893-67 (1층) ,054 -293 -2942,2025-08-14
일반음식점,고향화로갈비,"경상북도 포항시 남구 오천읍 문덕로11번길 16, 1층",경상북도 포항시 남구 오천읍 문덕리 300-1 1층 ,054 -293 -3030,2025-08-14
일반음식점,병천순대 오천점,"경상북도 포항시 남구 오천읍 냉천로 216, 1층","경상북도 포항시 남구 오천읍 원리 1409-3 1층, 좌측 ",054 -293 -3188,2025-08-14
일반음식점,이승윤알통떡강정,"경상북도 포항시 남구 오천읍 남원로 83, 2동 101호 (부영사랑으로상가)",경상북도 포항시 남구 오천읍 원리 893-15 (부영사랑으로상가) 2동 101호,054 -293 -3242,2025-08-14
일반음식점,카페초록지붕,"경상북도 포항시 남구 오천읍 오어로 292, 1층",경상북도 포항시 남구 오천읍 문충리 288-8 1층 ,054 -293 -3327,2025-08-14
일반음식점,대복삼계탕,"경상북도 포항시 남구 인덕로8번길 13-6, 1층 (인덕동)",경상북도 포항시 남구 인덕동 340-4 1층 ,054 -293 -3352,2025-08-14
일반음식점,문덕반점,"경상북도 포항시 남구 오천읍 문덕로24번길 33-6, 1층",경상북도 포항시 남구 오천읍 문덕리 878-1 1층 ,054 -293 -3360,2025-08-14
일반음식점,전세계간장게장,"경상북도 포항시 남구 오천읍 냉천로 356, 등촌빌딩 1층",경상북도 포항시 남구 오천읍 문덕리 214-26 등촌빌딩1층 ,054 -293 -3816,2025-08-14
일반음식점,한끼국밥,"경상북도 포항시 남구 오천읍 냉천로340번길 8, 105호",경상북도 포항시 남구 오천읍 원리 989-7 105호,054 -293 -4000,2025-08-14
일반음식점,푸디스트(주) 쉴낙원포항장례식장점,경상북도 포항시 남구 해병로 63 (청림동),경상북도 포항시 남구 청림동 1115 ,054 -293 -4004,2025-08-14
일반음식점,호동객잔,"경상북도 포항시 남구 오천읍 문덕로 34, 1층",경상북도 포항시 남구 오천읍 문덕리 318-2 ,054 -293 -4257,2025-08-14
